Participant ID,Video file,Gloss,ASL-LEX Code
P40,31514063915992985-NIGHT.mp4,NIGHT1,A_01_003
P40,6200599912746265-HEAR 2.mp4,HEAR2,J_02_006
P40,01763316669214965-DOCTOR 2.mp4,DOCTOR2,K_03_015
P40,2603033322019441-FAST.mp4,FAST,C_03_016
P40,07893366237759558-STOP.mp4,STOP,D_01_010
P40,6773066510486812-MONEY 2.mp4,MONEY2,K_01_104
P40,22557588909046955-REMEMBER.mp4,REMEMBER2,C_02_014
P40,4342737241901915-SEE.mp4,SEE,C_02_030
P40,22120236172200158-NEVER.mp4,NEVER,C_02_079
P40,5977762842020984-THINK.mp4,THINK,C_03_053
P40,5446958870984302-SMALL.mp4,SMALL,D_01_030
P40,027816838285841916-WHAT 2.mp4,WHAT1,D_02_094
P40,006384257747789057-FEW.mp4,FEW,C_02_067
P40,6849051691440626-COUNTRY.mp4,COUNTRY,C_03_058
P40,9733473831041732-COME.mp4,COME,C_03_074
P40,2570647676865354-WRITE.mp4,WRITE,D_01_051
P40,1394181455579162-BUY.mp4,BUY,D_03_074
P40,4913688086330612-HATE.mp4,HATE,F_02_078
P40,13316006185127205-HOT.mp4,HOT,F_02_093
P37,6280906175309462-NIGHT.mp4,NIGHT1,A_01_003
P37,20910643157904762-HEAR 2.mp4,HEAR2,J_02_006
P37,7608168199749585-DOCTOR 2.mp4,DOCTOR2,K_03_015
P37,4355232918135832-FAST.mp4,FAST,C_03_016
P37,8893256597213444-STOP.mp4,STOP,D_01_010
P37,4158152912428734-MONEY 2.mp4,MONEY2,K_01_104
P37,3463923454219011-REMEMBER.mp4,REMEMBER2,C_02_014
P37,01973467612046309-SEE.mp4,SEE,C_02_030
P37,8916270993084592-NEVER.mp4,NEVER,C_02_079
P37,32286789380855874-THINK.mp4,THINK,C_03_053
P37,43505759423144474-SMALL.mp4,SMALL,D_01_030
P37,8405493387581946-WHAT 2.mp4,WHAT1,D_02_094
P37,8718307226796662-FEW.mp4,FEW,C_02_067
P37,753471008749121-COUNTRY.mp4,COUNTRY,C_03_058
P37,3537345851274545-COME.mp4,COME,C_03_074
P37,7241712002802467-WRITE.mp4,WRITE,D_01_051
P37,2174130301482664-BUY.mp4,BUY,D_03_074
P37,5481035187640684-HATE.mp4,HATE,F_02_078
P37,7416561706981699-HOT.mp4,HOT,F_02_093
P37,8699676621201298-OK.mp4,OK,F_03_080
P37,8799499585540838-GIVE.mp4,GIVE,F_01_023
P37,1072225635555093-TAKE.mp4,TAKE,G_01_093
P37,4362793797127771-TOMORROW.mp4,TOMORROW,F_02_040
P37,44146024789241256-YES.mp4,YES,G_03_074
P37,15607306560819167-ALWAYS.mp4,ALWAYS,J_03_076
P37,36803371518328487-WOMAN 2.mp4,WOMAN2,K_01_101
P37,2789046705437668-DRINK 2.mp4,DRINK2,K_03_092
P37,1845988193133219-BOY.mp4,BOY,B_02_090
P37,697764467890001-SISTER.mp4,SISTER,D_03_050
P37,9858325161708861-HAPPY.mp4,HAPPY,C_03_078
P37,3878260902223658-EAT.mp4,EAT1,B_02_002
P37,27259190630226193-COLD.mp4,COLD,C_02_068
P37,9151466310951184-YOUR.mp4,YOUR,F_01_052
P37,40476184301049223-DIFFERENT.mp4,DIFFERENT,E_03_095
P37,9459864504023865-WELCOME 2.mp4,WELCOME1,
P37,9303557889829679-MOTHER.mp4,MOTHER,B_02_008
P37,4821487626510894-SLOW.mp4,SLOW,B_02_041
P37,4649907997271234-BROTHER.mp4,BROTHER,B_01_065
P37,2624678001511518-PEOPLE.mp4,PEOPLE,C_01_009
P37,5726531690314898-FINISH.mp4,FINISH,B_03_025
P37,4589443576656864-EAT.mp4,EAT1,B_02_002
P37,3512784023936262-FATHER.mp4,FATHER,B_01_077
P37,6333838161696508-FAMILY.mp4,FAMILY,C_01_025
P37,8989337086309281-SORRY.mp4,SORRY,C_01_020
P37,5240267173967887-DAY.mp4,DAY,C_01_044
P37,7518611049674775-HUNGRY.mp4,HUNGRY,C_01_010
P37,6012238095404652-BORED.mp4,BORED1,B_01_017
P37,7085041042230886-GOOD.mp4,GOOD,B_01_052
P37,003104967374903289-LEARN.mp4,LEARN,B_01_042
P37,1300301228681695-MAN.mp4,MAN,C_01_040
P37,4560608489469089-FEEL.mp4,FEEL,C_02_001
P37,04515307711600891-PLEASE.mp4,PLEASE,B_02_007
P37,9824526442836845-WHERE.mp4,WHERE,B_02_035
P37,4326169993763198-FINE.mp4,FINE1,C_01_043
P37,7168321371853796-MORE.mp4,MORE,B_03_032
P37,5975068622167394-HARD.mp4,HARD,C_01_036
P37,8056235018969913-TIME.mp4,TIME,B_02_080
P37,6542147977884243-YEAR.mp4,YEAR,B_02_015
P37,591140682226134-WHICH.mp4,WHICH,B_01_088
P37,22349971035391758-WHO.mp4,WHO,C_01_041
P37,5362769992680791-MAYBE.mp4,MAYBE,B_03_022
P37,9125300798453833-NAME.mp4,NAME,D_01_021
P37,8351529407222296-WHY.mp4,WHY,D_01_067
P37,8486809407942575-HELLO.mp4,HELLO,D_02_055
P37,01798723214383169-WHEN.mp4,WHEN,C_03_086
P37,8320934408924416-LATER.mp4,LATER,D_01_077
P37,08882787638193945-YOU.mp4,YOU,D_02_065
P37,8635216593391397-WANT 2.mp4,WANT1,E_01_025
P37,8852853673281356-TEACHER.mp4,TEACHER,A_02_033
P37,62983148818386-BIG.mp4,BIG,F_02_054
P37,8565239257906878-NICE.mp4,NICE,G_03_059
P37,274934874875824-WE.mp4,WE,G_03_019
P37,15769775934939156-THANK YOU.mp4,THANKYOU,H_02_053
P37,28071486967073533-NEED.mp4,NEED,C_02_034
P37,404670456586959-NOW.mp4,NOW,C_03_062
P37,9546720188783062-TELL.mp4,TELL,C_02_013
P37,5250104606145489-YESTERDAY.mp4,YESTERDAY,D_01_024
P37,09714329486323847-NO.mp4,NO,C_03_041
P37,06888060382968919-GIRL.mp4,GIRL,C_03_073
P37,11371494843142349-EASY.mp4,EASY,D_01_070
P37,8638262994392436-SCHOOL.mp4,SCHOOL,C_03_089
P37,22889612387878833-MEET.mp4,MEET,D_02_018
P37,06432011024096629-FRIEND.mp4,FRIEND,D_03_010
P37,6377145774354793-CAR.mp4,CAR,D_02_043
P38,7921297303573938-LIKE.mp4,LIKE,F_03_063
P38,9802753357268721-THEY.mp4,THEY1,F_02_103
P38,26057875460860425-EVERYTHING.mp4,EVERYTHING,F_03_084
P34,5654281824131167-TODAY.mp4,TODAY,E_02_006
P34,21500738701557953-STUDY.mp4,STUDY,G_01_090
P34,6529086386636707-CITY 2.mp4,CITY2,K_02_076
P34,47175728440552755-GO.mp4,GO,C_03_056
P34,08327228555001609-ALL.mp4,ALL,C_03_088
P34,8668045089043974-OK.mp4,OK,F_03_080
P34,5657005340369723-GIVE.mp4,GIVE,F_01_023
P34,9368256240098554-TAKE.mp4,TAKE,G_01_093
P34,8749149490186505-TOMORROW.mp4,TOMORROW,F_02_040
P34,16728596536749274-YES.mp4,YES,G_03_074
P34,23489149176046498-ALWAYS.mp4,ALWAYS,J_03_076
P34,23816999184777976-WOMAN 2.mp4,WOMAN2,K_01_101
P7,3909320209952225-YOUR.mp4,YOUR,F_01_052
P7,3450925010970334-DIFFERENT.mp4,DIFFERENT,E_03_095
P7,22125422555983953-WELCOME 2.mp4,WELCOME1,
P7,3997168861475149-HE.mp4,HE,F_02_044
P7,09421450639596118-NIGHT.mp4,NIGHT1,A_01_003
P7,7055436665641321-STUDENT.mp4,STUDENT,A_02_012
P7,6826540772440661-MONTH.mp4,MONTH,A_01_073
P7,00717587882424664-COMPUTER.mp4,COMPUTER,A_01_054
P7,8093798343741647-BOOK.mp4,BOOK,A_01_027
P7,05517664563791591-TEACHER.mp4,TEACHER,A_02_033
P7,594799660772781-MOTHER.mp4,MOTHER,B_02_008
P7,735841728723114-SLOW.mp4,SLOW,B_02_041
P7,5300191533671401-BROTHER.mp4,BROTHER,B_01_065
P7,7140768957562555-PEOPLE.mp4,PEOPLE,C_01_009
P7,6209651921836459-FINISH.mp4,FINISH,B_03_025
P7,3407129339550383-EAT.mp4,EAT1,B_02_002
P7,5683249939832291-FATHER.mp4,FATHER,B_01_077
P7,5231117289015388-FAMILY.mp4,FAMILY,C_01_025
P7,62778761952392-SORRY.mp4,SORRY,C_01_020
P7,2127361825953915-DAY.mp4,DAY,C_01_044
P7,3031010038877062-HUNGRY.mp4,HUNGRY,C_01_010
P7,1372700336627466-BORED.mp4,BORED1,B_01_017
P7,5948912677856568-GOOD.mp4,GOOD,B_01_052
P7,2918614747304418-LEARN.mp4,LEARN,B_01_042
P7,4036426039691503-MAN.mp4,MAN,C_01_040
P7,47007106825738343-FEEL.mp4,FEEL,C_02_001
P7,31545854783740124-PLEASE.mp4,PLEASE,B_02_007
P7,7968041209479837-WHERE.mp4,WHERE,B_02_035
P7,4373322507640063-FINE.mp4,FINE1,C_01_043
P7,19756865098292908-MORE.mp4,MORE,B_03_032
P7,9467762244571682-HARD.mp4,HARD,C_01_036
P7,6568502454895795-TIME.mp4,TIME,B_02_080
P7,6963469295518416-YEAR.mp4,YEAR,B_02_015
P7,09249006308823682-WHICH.mp4,WHICH,B_01_088
P7,044977332478077336-WHO.mp4,WHO,C_01_041
P7,07634524313415914-MAYBE.mp4,MAYBE,B_03_022
P37,9540803227058581-HE.mp4,HE,F_02_044
P37,9789286217696351-NIGHT.mp4,NIGHT1,A_01_003
P37,33442221489032753-STUDENT.mp4,STUDENT,A_02_012
P37,7478878982813382-MONTH.mp4,MONTH,A_01_073
P37,047487125393855356-COMPUTER.mp4,COMPUTER,A_01_054
P37,8258920636382685-BOOK.mp4,BOOK,A_01_027
P37,5723102083146778-BYE.mp4,BYE,E_01_058
P37,9905610324350711-BUSY.mp4,BUSY,E_02_040
P37,8999403469318679-THEY.mp4,THEY1,F_02_103
P51,7652691083354926-YOUR.mp4,YOUR,F_01_052
P51,1672984747329458-WELCOME 2.mp4,WELCOME1,
P51,33789633569338906-HE.mp4,HE,F_02_044
P51,06071790828062662-NIGHT.mp4,NIGHT1,A_01_003
P51,5360537085437711-STUDENT.mp4,STUDENT,A_02_012
P51,49212530571549884-MONTH.mp4,MONTH,A_01_073
P51,7830052444646307-COMPUTER.mp4,COMPUTER,A_01_054
P51,9654484282818483-BOOK.mp4,BOOK,A_01_027
P51,47124841081350866-TEACHER.mp4,TEACHER,A_02_033
P7,20739960328931106-NAME.mp4,NAME,D_01_021
P7,41986547104124017-WHY.mp4,WHY,D_01_067
P7,7613696736100914-HELLO.mp4,HELLO,D_02_055
P7,7524645430552388-WHEN.mp4,WHEN,C_03_086
P7,07873167158396233-LATER.mp4,LATER,D_01_077
P7,5547769757240029-YOU.mp4,YOU,D_02_065
P7,7637262020700946-WANT 2.mp4,WANT1,E_01_025
P7,8003555877371669-FINE.mp4,FINE1,C_01_043
P7,948548155363955-HOW.mp4,HOW1,D_02_082
P7,1382803573526168-BABY 2.mp4,BABY2,K_01_042
P37,4320670014874919-FINE.mp4,FINE1,C_01_043
P37,22306165813631562-HOW.mp4,HOW1,D_02_082
P37,42941739924172295-BABY 2.mp4,BABY2,K_01_042
P37,6408927707140595-LIKE.mp4,LIKE,F_03_063
P37,8679293440719862-THEY.mp4,THEY1,F_02_103
P37,584165310427345-EVERYTHING.mp4,EVERYTHING,F_03_084
P43,23481839806379456-HEAR 2.mp4,HEAR2,J_02_006
P43,06665083636643021-DOCTOR 2.mp4,DOCTOR2,K_03_015
P37,17171010348827442-TODAY.mp4,TODAY,E_02_006
P37,29162884683589496-STUDY.mp4,STUDY,G_01_090
P37,605284070797868-CITY 2.mp4,CITY2,K_02_076
P37,19142855644010948-GO.mp4,GO,C_03_056
P37,2845953650416435-ALL.mp4,ALL,C_03_088
P37,07723402819615632-FAST.mp4,FAST,C_03_016
P37,6529230226346452-STOP.mp4,STOP,D_01_010
P37,37417832351505687-MONEY 2.mp4,MONEY2,K_01_104
P37,6806750611331462-REMEMBER.mp4,REMEMBER2,C_02_014
P37,2739015087815422-SEE.mp4,SEE,C_02_030
P37,4719420131799379-NEVER.mp4,NEVER,C_02_079
P37,2736869319842712-THINK.mp4,THINK,C_03_053
P37,5322570103859836-SMALL.mp4,SMALL,D_01_030
P37,2833503746558905-WHAT 2.mp4,WHAT1,D_02_094
P37,9473464557246889-FEW.mp4,FEW,C_02_067
P37,5747790634584196-COUNTRY.mp4,COUNTRY,C_03_058
P37,0165763043403353-COME.mp4,COME,C_03_074
P37,9959384247496594-WRITE.mp4,WRITE,D_01_051
P37,9472641183676052-BUY.mp4,BUY,D_03_074
P37,056742150623056764-HATE.mp4,HATE,F_02_078
P37,23047642101573373-HOT.mp4,HOT,F_02_093
P37,17379769097110098-OK.mp4,OK,F_03_080
P37,39549485976085896-GIVE.mp4,GIVE,F_01_023
P37,6127967104764245-TAKE.mp4,TAKE,G_01_093
P37,19770410991779142-TOMORROW.mp4,TOMORROW,F_02_040
P37,8699610978899361-YES.mp4,YES,G_03_074
P37,9819153446037916-ALWAYS.mp4,ALWAYS,J_03_076
P37,8679871176826335-WOMAN 2.mp4,WOMAN2,K_01_101
P14,04251771279467076-FAST.mp4,FAST,C_03_016
P14,6679488064816475-STOP.mp4,STOP,D_01_010
P14,7444894646061984-MONEY 2.mp4,MONEY2,K_01_104
P14,6536264066731292-REMEMBER.mp4,REMEMBER2,C_02_014
P14,6126331658791906-SEE.mp4,SEE,C_02_030
P14,48607482705788607-NEVER.mp4,NEVER,C_02_079
P14,7219677772800852-THINK.mp4,THINK,C_03_053
P14,12263814955166064-SMALL.mp4,SMALL,D_01_030
P14,0628291186114378-WHAT 2.mp4,WHAT1,D_02_094
P14,14411107759585695-FEW.mp4,FEW,C_02_067
P14,9521783113011786-COUNTRY.mp4,COUNTRY,C_03_058
P14,27472288337812434-COME.mp4,COME,C_03_074
P14,16452616343668436-WRITE.mp4,WRITE,D_01_051
P14,9511991641948525-BUY.mp4,BUY,D_03_074
P14,8314316147465439-HATE.mp4,HATE,F_02_078
P14,8421220383934189-HOT.mp4,HOT,F_02_093
P14,6785114540405601-OK.mp4,OK,F_03_080
P14,2495443890240825-GIVE.mp4,GIVE,F_01_023
P14,42788073545628125-TAKE.mp4,TAKE,G_01_093
P14,9924885587671943-TOMORROW.mp4,TOMORROW,F_02_040
P14,38970444942928073-YES.mp4,YES,G_03_074
P14,3025077004187282-HAPPY.mp4,HAPPY,C_03_078
P14,5847293981432022-EAT.mp4,EAT1,B_02_002
P14,11466999035726255-COLD.mp4,COLD,C_02_068
P14,5984958993020424-BIG.mp4,BIG,F_02_054
P36,30572430340937906-BIG.mp4,BIG,F_02_054
P36,951965116580737-NEED.mp4,NEED,C_02_034
P36,7793308929136242-NOW.mp4,NOW,C_03_062
P36,9517356256695517-TELL.mp4,TELL,C_02_013
P36,8671480886168847-YESTERDAY.mp4,YESTERDAY,D_01_024
P36,3919396171653571-NO.mp4,NO,C_03_041
P36,06160559840068669-GIRL.mp4,GIRL,C_03_073
P36,6115173784330921-EASY.mp4,EASY,D_01_070
P36,16180206221904592-SCHOOL.mp4,SCHOOL,C_03_089
P36,390260229135035-MEET.mp4,MEET,D_02_018
P36,9999305556908715-FRIEND.mp4,FRIEND,D_03_010
P36,4642218872328543-CAR.mp4,CAR,D_02_043
P36,048776623388550044-BYE.mp4,BYE,E_01_058
P36,7274963623472752-BUSY.mp4,BUSY,E_02_040
P38,27103389535111955-DRINK 2.mp4,DRINK2,K_03_092
P38,8604919873971555-DAY.mp4,DAY,C_01_044
P43,42284981094391094-DRINK 2.mp4,DRINK2,K_03_092
P43,33248134847065836-DAY.mp4,DAY,C_01_044
P43,38799379375716403-ALWAYS.mp4,ALWAYS,J_03_076
P7,09185137973370061-BOY.mp4,BOY,B_02_090
P7,5049858314243783-SISTER.mp4,SISTER,D_03_050
P7,11309810402342868-MEET.mp4,MEET,D_02_018
P7,913598030683759-TODAY.mp4,TODAY,E_02_006
P32,19741660770603775-YOUR.mp4,YOUR,F_01_052
P32,5538288174206061-DIFFERENT.mp4,DIFFERENT,E_03_095
P32,899168979995945-WELCOME 2.mp4,WELCOME1,
P36,8398312100057683-MORE.mp4,MORE,B_03_032
P36,032556435071625645-HARD.mp4,HARD,C_01_036
P36,945208701210648-TIME.mp4,TIME,B_02_080
P36,250579426738303-YEAR.mp4,YEAR,B_02_015
P36,7692089516377616-WHICH.mp4,WHICH,B_01_088
P36,18521627111046346-WHO.mp4,WHO,C_01_041
P36,7008751078684894-MAYBE.mp4,MAYBE,B_03_022
P36,07550237967516482-NAME.mp4,NAME,D_01_021
P36,5236898172561582-WHY.mp4,WHY,D_01_067
P41,25802117645943423-HELLO.mp4,HELLO,D_02_055
P2,782941320203238-WHEN.mp4,WHEN,C_03_086
P2,2411004090629114-LATER.mp4,LATER,D_01_077
P2,677386009297865-YOU.mp4,YOU,D_02_065
P2,8485035331460282-WANT 2.mp4,WANT1,E_01_025
P2,2575780253377702-NICE.mp4,NICE,G_03_059
P2,36753258402615074-WE.mp4,WE,G_03_019
P2,021145910536055412-THANK YOU.mp4,THANKYOU,H_02_053
P2,23302415519785113-NEED.mp4,NEED,C_02_034
P2,8445754712023406-NOW.mp4,NOW,C_03_062
P2,03799834629318344-TELL.mp4,TELL,C_02_013
P2,9746509820351381-YESTERDAY.mp4,YESTERDAY,D_01_024
P2,7973429116215278-NO.mp4,NO,C_03_041
P2,5445728412642656-GIRL.mp4,GIRL,C_03_073
P2,08338951361487168-EASY.mp4,EASY,D_01_070
P2,06483601782154702-SCHOOL.mp4,SCHOOL,C_03_089
P2,5628600109737771-BUSY.mp4,BUSY,E_02_040
P16,16042335211526892-WOMAN 2.mp4,WOMAN2,K_01_101
P16,972961297591985-DRINK 2.mp4,DRINK2,K_03_092
P16,3882428949192609-BOY.mp4,BOY,B_02_090
P16,2672044999092307-SISTER.mp4,SISTER,D_03_050
P16,8822793673438183-HAPPY.mp4,HAPPY,C_03_078
P16,8083635818179542-EAT.mp4,EAT1,B_02_002
P16,6864880477398156-COLD.mp4,COLD,C_02_068
P16,4175719914055973-YOUR.mp4,YOUR,F_01_052
P16,7644545089589412-DIFFERENT.mp4,DIFFERENT,E_03_095
P16,7747039358965744-WELCOME 2.mp4,WELCOME1,
P16,2147980308534052-HE.mp4,HE,F_02_044
P16,21963951449567354-MONTH.mp4,MONTH,A_01_073
P16,47930207467201935-COMPUTER.mp4,COMPUTER,A_01_054
P16,8534387373665198-BOOK.mp4,BOOK,A_01_027
P16,923106956330964-TEACHER.mp4,TEACHER,A_02_033
P16,4465911028936387-MOTHER.mp4,MOTHER,B_02_008
P16,8564819819245386-SLOW.mp4,SLOW,B_02_041
P16,4684116630451267-BROTHER.mp4,BROTHER,B_01_065
P16,8402522107859758-PEOPLE.mp4,PEOPLE,C_01_009
P16,36755244520541575-FINISH.mp4,FINISH,B_03_025
P16,30674313805858255-FATHER.mp4,FATHER,B_01_077
P16,17688969691666112-FAMILY.mp4,FAMILY,C_01_025
P16,46389552341659956-SORRY.mp4,SORRY,C_01_020
P16,6369569351542994-DAY.mp4,DAY,C_01_044
P16,0036168932795541675-HUNGRY.mp4,HUNGRY,C_01_010
P16,1651532290149189-BORED.mp4,BORED1,B_01_017
P16,7988103105967095-GOOD.mp4,GOOD,B_01_052
P16,8356772257248806-LEARN.mp4,LEARN,B_01_042
P16,20688738499250947-MAN.mp4,MAN,C_01_040
P16,7320835026313446-FEEL.mp4,FEEL,C_02_001
P16,95072139344285-PLEASE.mp4,PLEASE,B_02_007
P16,7750734997528588-WHERE.mp4,WHERE,B_02_035
P16,2474722734260606-FINE.mp4,FINE1,C_01_043
P16,033095312435714064-MORE.mp4,MORE,B_03_032
